,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
76,ponta do sol,PT,,,,,,,
77,bethel,US,,,,,,,
78,nizhneyansk,,,,,,,,
79,la asuncion,VE,,,,,,,
80,belushya guba,,,,,,,,
81,chernyshevskiy,RU,,,,,,,
82,kavieng,PG,,,,,,,
83,coquimbo,CL,,,,,,,
84,lyskovo,RU,,,,,,,
85,babanusah,,,,,,,,
86,werda,BW,,,,,,,
87,yuxia,CN,,,,,,,
88,hendersonville,US,,,,,,,
89,amderma,,,,,,,,
90,poronaysk,RU,,,,,,,
91,andenes,NO,,,,,,,
92,meulaboh,ID,,,,,,,
93,seoul,KR,,,,,,,
94,preston,GB,,,,,,,
95,nyzhni sirohozy,UA,,,,,,,
96,saint-gabriel,CA,,,,,,,
97,ferrara,IT,,,,,,,
98,longhua,CN,,,,,,,
99,port hueneme,US,,,,,,,
100,marsh harbour,BS,,,,,,,
101,fairbanks,US,,,,,,,
102,vaitupu,,,,,,,,
103,bandarbeyla,SO,,,,,,,
104,qaanaaq,GL,,,,,,,
105,provideniya,RU,,,,,,,
106,saleaula,,,,,,,,
107,ribeira grande,PT,,,,,,,
108,longyearbyen,SJ,,,,,,,
109,attawapiskat,,,,,,,,
110,ilulissat,GL,,,,,,,
111,gogrial,SS,,,,,,,
112,leningradskiy,RU,,,,,,,
113,mopipi,BW,,,,,,,
114,shelburne,CA,,,,,,,
115,te anau,NZ,,,,,,,
116,charters towers,AU,,,,,,,
117,saint-philippe,RE,,,,,,,
118,ancud,CL,,,,,,,
119,bengkulu,ID,,,,,,,
120,kamenskoye,,,,,,,,
121,pak phanang,TH,,,,,,,
122,thompson,CA,,,,,,,
123,qui nhon,VN,,,,,,,
124,atuona,PF,,,,,,,
125,bredasdorp,ZA,,,,,,,
126,mahebourg,MU,,,,,,,
127,techiman,GH,,,,,,,
128,vostok,RU,,,,,,,
129,cayenne,GF,,,,,,,
130,collipulli,CL,,,,,,,
131,namibe,AO,,,,,,,
132,matara,LK,,,,,,,
133,nanortalik,GL,,,,,,,
134,avare,BR,,,,,,,
135,saint-augustin,CA,,,,,,,
136,bontang,ID,,,,,,,
137,ambovombe,MG,,,,,,,
138,bathsheba,BB,,,,,,,
139,steinbach,DE,,,,,,,
140,arraial do cabo,BR,,,,,,,
141,tasiilaq,GL,,,,,,,
142,lompoc,US,,,,,,,
143,coahuayana,MX,,,,,,,
144,seydi,TM,,,,,,,
145,aksha,RU,,,,,,,
146,pinawa,CA,,,,,,,
147,coihaique,CL,,,,,,,
148,skagastrond,,,,,,,,
149,palabuhanratu,,,,,,,,
150,bubaque,GW,,,,,,,
151,hasaki,JP,,,,,,,
152,jacareacanga,BR,,,,,,,
153,cape town,ZA,,,,,,,
154,kamenka,RU,,,,,,,
155,albany,US,,,,,,,
156,denpasar,ID,,,,,,,
157,karlshamn,SE,,,,,,,
158,shaowu,CN,,,,,,,
159,luwuk,ID,,,,,,,
160,buchanan,LR,,,,,,,
161,saint andrews,US,,,,,,,
162,katsuura,JP,,,,,,,
163,kodiak,US,,,,,,,
164,henties bay,NA,,,,,,,
165,merauke,ID,,,,,,,
166,kaardi,,,,,,,,
167,newport,GB,,,,,,,
168,makakilo city,US,,,,,,,
169,parakou,BJ,,,,,,,
170,kegayli,,,,,,,,
171,saldanha,ZA,,,,,,,
172,anadyr,RU,,,,,,,
173,sable-sur-sarthe,FR,,,,,,,
174,esperance,AU,,,,,,,
175,khatanga,RU,,,,,,,
176,ambon,ID,,,,,,,
177,maputo,MZ,,,,,,,
178,nongstoin,IN,,,,,,,
179,poso,ID,,,,,,,
180,salinopolis,BR,,,,,,,
181,yumen,CN,,,,,,,
182,klaksvik,FO,,,,,,,
183,baruun-urt,MN,,,,,,,
184,lashio,MM,,,,,,,
185,vila do maio,CV,,,,,,,
186,nuuk,GL,,,,,,,
187,evensk,RU,,,,,,,
188,husavik,IS,,,,,,,
189,mirnyy,RU,,,,,,,
190,necochea,AR,,,,,,,
191,adrar,MR,,,,,,,
192,yarmouth,US,,,,,,,
193,rafaela,AR,,,,,,,
194,georgetown,MY,,,,,,,
195,belokurikha,RU,,,,,,,
196,sergeyevka,KZ,,,,,,,
197,andros town,BS,,,,,,,
198,morehead,US,,,,,,,
199,barentsburg,,,,,,,,
200,turukhansk,RU,,,,,,,
201,saskylakh,RU,,,,,,,
202,tarudant,,,,,,,,
203,watrous,CA,,,,,,,
204,constitucion,CL,,,,,,,
205,praia,CV,,,,,,,
206,buala,SB,,,,,,,
207,solnechnyy,RU,,,,,,,
208,alekseyevka,RU,,,,,,,
209,mandera,KE,,,,,,,
210,nsanje,MW,,,,,,,
211,plettenberg bay,ZA,,,,,,,
212,mahanoro,MG,,,,,,,
213,yinchuan,CN,,,,,,,
214,padang,ID,,,,,,,
215,nabire,ID,,,,,,,
216,gadwal,IN,,,,,,,
217,richards bay,ZA,,,,,,,
218,yeppoon,AU,,,,,,,
219,dumas,US,,,,,,,
220,los llanos de aridane,ES,,,,,,,
221,vestmannaeyjar,IS,,,,,,,
222,teacapan,MX,,,,,,,
223,mergui,,,,,,,,
224,maltahohe,NA,,,,,,,
225,jurm,AF,,,,,,,
226,cidreira,BR,,,,,,,
227,marcona,,,,,,,,
228,san policarpo,PH,,,,,,,
229,chuy,UY,,,,,,,
230,pasighat,IN,,,,,,,
231,geraldton,AU,,,,,,,
232,tessalit,ML,,,,,,,
233,illoqqortoormiut,,,,,,,,
234,torbay,CA,,,,,,,
235,westerly,US,,,,,,,
236,itarema,BR,,,,,,,
237,salalah,OM,,,,,,,
238,airai,TL,,,,,,,
239,pitimbu,BR,,,,,,,
240,dikson,RU,,,,,,,
241,burrel,AL,,,,,,,
242,diamantino,BR,,,,,,,
243,bada,RU,,,,,,,
244,sines,PT,,,,,,,
245,barrow,US,,,,,,,
246,funadhoo,MV,,,,,,,
247,verkhnyaya inta,RU,,,,,,,
248,palmer,US,,,,,,,
249,dhidhdhoo,MV,,,,,,,
250,lupsa,RO,,,,,,,
251,christchurch,NZ,,,,,,,
252,bambous virieux,MU,,,,,,,
253,tyler,US,,,,,,,
254,saravan,AM,,,,,,,
255,westport,US,,,,,,,
256,caravelas,BR,,,,,,,
257,puerto lempira,HN,,,,,,,
258,aklavik,CA,,,,,,,
259,huron,US,,,,,,,
260,alotau,,,,,,,,
261,jinchang,CN,,,,,,,
262,jamestown,US,,,,,,,
263,sao filipe,CV,,,,,,,
264,fortuna,US,,,,,,,
265,kolpashevo,RU,,,,,,,
266,new norfolk,AU,,,,,,,
267,grand river south east,,,,,,,,
268,atar,MR,,,,,,,
269,rocha,UY,,,,,,,
270,naze,JP,,,,,,,
271,yaan,NG,,,,,,,
272,ekhabi,RU,,,,,,,
273,kirovskiy,RU,,,,,,,
274,lai,TD,,,,,,,
275,vila velha,BR,,,,,,,
276,kibara,TZ,,,,,,,
277,lavrentiya,RU,,,,,,,
278,port-gentil,GA,,,,,,,
279,podor,MR,,,,,,,
280,kurush,RU,,,,,,,
281,muli,MV,,,,,,,
282,nata,PA,,,,,,,
283,olga,RU,,,,,,,
284,komsomolskiy,UZ,,,,,,,
285,kachiry,KZ,,,,,,,
286,ahuimanu,US,,,,,,,
287,luganville,VU,,,,,,,
288,mutata,CO,,,,,,,
289,ozu,JP,,,,,,,
290,sinjar,IQ,,,,,,,
291,russell,US,,,,,,,
292,pangai,TO,,,,,,,
293,novopokrovka,UA,,,,,,,
294,ocos,GT,,,,,,,
295,kozhva,RU,,,,,,,
296,qobustan,AZ,,,,,,,
297,lumphat,KH,,,,,,,
298,san patricio,US,,,,,,,
299,touros,BR,,,,,,,
300,helong,CN,,,,,,,
301,nome,US,,,,,,,
302,nizhniy novgorod,RU,,,,,,,
303,mizan teferi,ET,,,,,,,
304,tabou,CI,,,,,,,
305,langsa,ID,,,,,,,
306,road town,VG,,,,,,,
307,najran,SA,,,,,,,
308,tilichiki,RU,,,,,,,
309,takaka,NZ,,,,,,,
310,quatre cocos,MU,,,,,,,
311,zhuhai,CN,,,,,,,
312,ziro,IN,,,,,,,
313,hrubieszow,PL,,,,,,,
314,senekal,ZA,,,,,,,
315,kampot,KH,,,,,,,
316,leopold,AU,,,,,,,
317,bandar,ID,,,,,,,
318,shenjiamen,CN,,,,,,,
319,asfi,MA,,,,,,,
320,saint george,US,,,,,,,
321,sartana,UA,,,,,,,
322,mandalgovi,MN,,,,,,,
323,socorro,US,,,,,,,
324,dukat,RU,,,,,,,
325,egvekinot,RU,,,,,,,
326,camenca,MD,,,,,,,
327,faya,SA,,,,,,,
328,chagda,,,,,,,,
329,high level,CA,,,,,,,
330,lazaro cardenas,MX,,,,,,,
331,ihosy,MG,,,,,,,
332,abu samrah,SY,,,,,,,
333,soskovo,RU,,,,,,,
334,pandan,PH,,,,,,,
335,garowe,SO,,,,,,,
336,umzimvubu,,,,,,,,
337,yarim,YE,,,,,,,
338,russellville,US,,,,,,,
339,dubbo,AU,,,,,,,
340,dovers,VC,,,,,,,
341,kazalinsk,,,,,,,,
342,mbigou,GA,,,,,,,
343,vila franca do campo,PT,,,,,,,
344,the valley,AI,,,,,,,
345,hobyo,SO,,,,,,,
346,la ronge,CA,,,,,,,
347,xiangdong,,,,,,,,
348,joshimath,IN,,,,,,,
349,baiyin,CN,,,,,,,
350,sarkeresztur,HU,,,,,,,
351,dubti,ET,,,,,,,
352,paamiut,GL,,,,,,,
353,inuvik,CA,,,,,,,
354,rawson,AR,,,,,,,
355,da nang,VN,,,,,,,
356,athabasca,CA,,,,,,,
357,tari,NG,,,,,,,
358,ngukurr,,,,,,,,
359,zhigansk,RU,,,,,,,
360,ilheus,BR,,,,,,,
361,nuevo mexico,MX,,,,,,,
362,ostrovnoy,RU,,,,,,,
363,lingao,CN,,,,,,,
364,spirit river,CA,,,,,,,
365,port macquarie,AU,,,,,,,
366,dedovichi,RU,,,,,,,
367,hamilton,US,,,,,,,
368,kununurra,AU,,,,,,,
369,pisco,PE,,,,,,,
370,samalaeulu,,,,,,,,
371,jaromer,CZ,,,,,,,
372,cukai,MY,,,,,,,
373,burkhala,,,,,,,,
374,cutro,IT,,,,,,,
375,bargal,,,,,,,,
376,taltal,CL,,,,,,,
377,kuopio,FI,,,,,,,
378,griffith,US,,,,,,,
379,uran,IN,,,,,,,
380,cody,US,,,,,,,
381,grand centre,,,,,,,,
382,west bay,KY,,,,,,,
383,cherskiy,RU,,,,,,,
384,santa rosalia,MX,,,,,,,
385,guerrero negro,MX,,,,,,,
386,vardo,NO,,,,,,,
387,batagay,RU,,,,,,,
388,samarai,PG,,,,,,,
389,provost,CA,,,,,,,
390,malakal,SS,,,,,,,
391,maridi,SS,,,,,,,
392,hays,US,,,,,,,
393,saint-honore,CA,,,,,,,
394,xinzhou,CN,,,,,,,
395,chapais,CA,,,,,,,
396,gold coast,AU,,,,,,,
397,port lincoln,AU,,,,,,,
398,gorontalo,ID,,,,,,,
399,ndola,ZM,,,,,,,
400,lakes entrance,AU,,,,,,,
401,portland,US,,,,,,,
402,sechura,PE,,,,,,,
403,wasilla,US,,,,,,,
404,verin,ES,,,,,,,
405,victoria,HK,,,,,,,
406,smoky lake,CA,,,,,,,
407,college,US,,,,,,,
408,haileybury,CA,,,,,,,
409,mys shmidta,,,,,,,,
410,verkhnevilyuysk,RU,,,,,,,
411,carutapera,BR,,,,,,,
412,altay,CN,,,,,,,
413,haapsalu,EE,,,,,,,
414,manono,CD,,,,,,,
415,tadine,NC,,,,,,,
416,bayanday,RU,,,,,,,
417,ubinskoye,RU,,,,,,,
418,townsville,AU,,,,,,,
419,hithadhoo,MV,,,,,,,
420,port elizabeth,ZA,,,,,,,
421,hambantota,LK,,,,,,,
422,mangrol,IN,,,,,,,
423,alyangula,AU,,,,,,,
424,sibolga,ID,,,,,,,
425,bar harbor,US,,,,,,,
426,hauterive,FR,,,,,,,
427,kazerun,IR,,,,,,,
428,maralal,KE,,,,,,,
429,petropavlovsk-kamchatskiy,RU,,,,,,,
430,nouadhibou,MR,,,,,,,
431,casper,US,,,,,,,
432,diyarb najm,EG,,,,,,,
433,kontagora,NG,,,,,,,
434,luan,CH,,,,,,,
435,teya,RU,,,,,,,
436,aketi,CD,,,,,,,
437,louisbourg,,,,,,,,
438,sobolevo,RU,,,,,,,
439,novorudnyy,RU,,,,,,,
440,zaysan,KZ,,,,,,,
441,kayerkan,RU,,,,,,,
442,souillac,MU,,,,,,,
443,lagoa,PT,,,,,,,
444,chase,CA,,,,,,,
445,warqla,,,,,,,,
446,comodoro rivadavia,AR,,,,,,,
447,cravo norte,CO,,,,,,,
448,alcudia,ES,,,,,,,
449,pangnirtung,CA,,,,,,,
450,mabaruma,GY,,,,,,,
451,labuhan,ID,,,,,,,
452,kysyl-syr,RU,,,,,,,
453,panubigan,PH,,,,,,,
454,micco,US,,,,,,,
455,dosso,NE,,,,,,,
456,matagami,CA,,,,,,,
457,vizinga,RU,,,,,,,
458,kissamos,GR,,,,,,,
459,navlya,RU,,,,,,,
460,yarada,IN,,,,,,,
461,novyy urgal,RU,,,,,,,
462,moose factory,CA,,,,,,,
463,san cristobal,VE,,,,,,,
464,udachnyy,RU,,,,,,,
465,dicabisagan,PH,,,,,,,
466,sheregesh,RU,,,,,,,
467,eyl,SO,,,,,,,
468,vallenar,CL,,,,,,,
469,dingle,PH,,,,,,,
470,khartoum,SD,,,,,,,
471,gryazovets,RU,,,,,,,
472,coos bay,US,,,,,,,
473,orlandia,BR,,,,,,,
474,mount isa,AU,,,,,,,
475,viedma,AR,,,,,,,
476,batetskiy,RU,,,,,,,
477,vanimo,PG,,,,,,,
478,pacific grove,US,,,,,,,
479,namatanai,PG,,,,,,,
480,mayumba,GA,,,,,,,
481,hofn,IS,,,,,,,
482,half moon bay,US,,,,,,,
483,sokoto,NG,,,,,,,
484,norman wells,CA,,,,,,,
485,skalistyy,,,,,,,,
486,bilma,NE,,,,,,,
487,tecoanapa,MX,,,,,,,
488,lorengau,PG,,,,,,,
489,manta,EC,,,,,,,
490,la rioja,ES,,,,,,,
491,palkino,RU,,,,,,,
492,vestmanna,FO,,,,,,,
493,rungata,,,,,,,,
494,sorvag,,,,,,,,
495,farmersville,US,,,,,,,
496,shahr-e babak,IR,,,,,,,
497,meyungs,,,,,,,,
498,kyshtovka,RU,,,,,,,
499,dolbeau,,,,,,,,
500,rondonopolis,BR,,,,,,,
501,grants,US,,,,,,,
502,saint marys,US,,,,,,,
503,durban,ZA,,,,,,,
504,sola,VU,,,,,,,
505,poum,NC,,,,,,,
506,salekhard,RU,,,,,,,
507,laguna de duero,ES,,,,,,,
508,samusu,,,,,,,,
509,ahipara,NZ,,,,,,,
510,muroto,JP,,,,,,,
511,bolshoye sorokino,,,,,,,,
512,mayo,US,,,,,,,
513,grindavik,IS,,,,,,,
514,katherine,AU,,,,,,,
515,soma,TR,,,,,,,
516,ambulu,ID,,,,,,,
517,inhambane,MZ,,,,,,,
518,hornepayne,CA,,,,,,,
519,kourou,GF,,,,,,,
520,tevriz,RU,,,,,,,
521,kuito,AO,,,,,,,
522,beroroha,MG,,,,,,,
523,port blair,IN,,,,,,,
524,miyoshi,JP,,,,,,,
525,isla mujeres,MX,,,,,,,
526,hollins,US,,,,,,,
527,ulladulla,AU,,,,,,,
528,zlitan,LY,,,,,,,
529,srednekolymsk,RU,,,,,,,
530,pietersburg,ZA,,,,,,,
531,verkhnyaya toyma,RU,,,,,,,
532,mareeba,AU,,,,,,,
533,nauta,PE,,,,,,,
534,talnakh,RU,,,,,,,
535,big rapids,US,,,,,,,
536,olavarria,AR,,,,,,,
537,trairi,BR,,,,,,,
538,harindanga,IN,,,,,,,
539,arona,ES,,,,,,,
540,vieques,PR,,,,,,,
541,ust-nera,RU,,,,,,,
542,xapuri,BR,,,,,,,
543,klyuchi,RU,,,,,,,
544,todos santos,MX,,,,,,,
545,aden,YE,,,,,,,
546,asau,RO,,,,,,,
547,sisimiut,GL,,,,,,,
548,vargashi,RU,,,,,,,
549,finschhafen,PG,,,,,,,
550,marmaron,,,,,,,,
551,conakry,GN,,,,,,,
552,oranjemund,NA,,,,,,,
553,wadi musa,JO,,,,,,,
554,tukrah,LY,,,,,,,
555,baherden,TM,,,,,,,
556,george,ZA,,,,,,,
557,jidong,CN,,,,,,,
558,port hardy,CA,,,,,,,
559,kodinsk,RU,,,,,,,
560,tanete,ID,,,,,,,
561,tura,IN,,,,,,,
562,itoman,JP,,,,,,,
563,urengoy,RU,,,,,,,
564,bell ville,AR,,,,,,,
565,eureka,US,,,,,,,
566,gornopravdinsk,RU,,,,,,,
567,kaputa,ZM,,,,,,,
568,alofi,NU,,,,,,,
569,qasigiannguit,GL,,,,,,,
570,yanam,IN,,,,,,,
571,novoagansk,RU,,,,,,,
572,mitu,CO,,,,,,,
573,flin flon,CA,,,,,,,
574,roald,NO,,,,,,,
575,benton harbor,US,,,,,,,
576,tumannyy,,,,,,,,
577,kahului,US,,,,,,,
578,porto nacional,BR,,,,,,,
579,nemuro,JP,,,,,,,
580,maniitsoq,GL,,,,,,,
581,pachino,IT,,,,,,,
582,gulshat,,,,,,,,
583,borujerd,IR,,,,,,,
584,vagur,FO,,,,,,,
585,belyy yar,RU,,,,,,,
586,adzope,CI,,,,,,,
587,canico,PT,,,,,,,
588,sombrio,BR,,,,,,,
589,arman,RU,,,,,,,
590,betafo,MG,,,,,,,
591,nizwa,OM,,,,,,,
