City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed(mph)
Kupang,90,ID,1613633461,100,-10.1667,123.5833,77.0,9.22
Sibolga,5,ID,1613633461,71,1.7427,98.7792,84.51,4.74
Busselton,1,AU,1613633461,44,-33.65,115.3333,66.99,7.0
Lavrentiya,48,RU,1613633462,86,65.5833,-171.0,-16.13,0.67
Hamilton,90,US,1613633462,93,39.1834,-84.5333,21.2,3.44
Pevek,0,RU,1613633462,86,69.7008,170.3133,-28.44,1.77
Normandin,24,CA,1613633462,77,48.8333,-72.5321,1.4,1.14
Butaritari,48,KI,1613633463,82,3.0707,172.7902,81.59,18.95
Oranjemund,67,NA,1613633463,63,-28.55,16.4333,68.25,14.85
Bredasdorp,93,ZA,1613633463,59,-34.5322,20.0403,66.2,11.5
Mo i Rana,0,NO,1613633463,78,66.3128,14.1428,5.0,2.3
Puerto Ayora,71,EC,1613633463,93,-0.7393,-90.3518,73.99,3.0
Lagos,62,NG,1613633460,68,6.5833,3.75,82.2,3.56
Demyansk,12,RU,1613633464,89,57.643,32.466,-1.16,2.37
Kununurra,100,AU,1613633464,34,-15.7667,128.7333,96.8,9.22
Tigzirt,27,DZ,1613633464,51,36.8886,4.1198,58.12,9.53
Kavaratti,63,IN,1613633465,69,10.5669,72.642,81.46,7.76
Saint Paul Harbor,90,US,1613633377,80,57.79,-152.4072,33.8,3.44
Vardø,0,NO,1613633465,63,70.3705,31.1107,26.6,29.93
Nikolskoye,20,RU,1613633465,84,59.7035,30.7861,-2.0,2.24
Faya,75,SA,1613633465,39,18.3851,42.4509,64.4,3.44
Kruisfontein,22,ZA,1613633466,56,-34.0033,24.7314,75.99,7.0
Lotofaga,90,WS,1613633466,94,-13.9764,-171.8578,78.8,6.91
Chui,31,UY,1613633466,96,-33.6971,-53.4616,64.49,8.52
Port Blair,40,IN,1613633466,79,11.6667,92.75,84.2,6.91
Voskresenskoye,96,RU,1613633466,93,56.8381,45.4317,3.97,2.35
Dicabisagan,100,PH,1613633467,86,17.0818,122.4157,70.21,16.26
Byron Bay,75,AU,1613633346,88,-28.65,153.6167,71.6,11.5
Biryusinsk,100,RU,1613633467,92,55.9634,97.8235,13.46,14.9
Port Macquarie,40,AU,1613633467,78,-31.4333,152.9167,73.99,9.22
Kirakira,100,SB,1613633467,79,-10.4544,161.9205,82.56,5.48
Ajdabiya,38,LY,1613633468,50,30.7554,20.2263,59.29,9.57
Isangel,100,VU,1613633468,77,-19.55,169.2667,81.88,3.36
Castro,0,BR,1613633468,84,-24.7911,-50.0119,55.09,3.83
Vila Franca do Campo,75,PT,1613633468,72,37.7167,-25.4333,59.0,17.27
Jamestown,90,US,1613633469,79,42.097,-79.2353,18.0,6.91
Puerto Escondido,1,MX,1613633469,68,15.85,-97.0667,73.4,7.63
Itarema,99,BR,1613633469,89,-2.9248,-39.9167,76.87,5.84
Hualmay,84,PE,1613633469,75,-11.0964,-77.6139,70.36,3.22
São Félix do Xingu,100,BR,1613633469,97,-6.6447,-51.995,71.64,3.53
Hithadhoo,0,MV,1613633470,69,-0.6,73.0833,83.41,8.57
New Norfolk,0,AU,1613633470,23,-42.7826,147.0587,86.0,3.0
Norman Wells,75,CA,1613633470,76,65.282,-126.8329,-16.6,2.3
Lebu,0,CL,1613633470,86,-37.6167,-73.65,52.97,7.61
Coyhaique,90,CL,1613633470,93,-45.5752,-72.0662,51.8,5.75
Saint-Philippe,0,RE,1613633471,70,-21.3585,55.7679,89.01,10.36
Fukuechō,75,JP,1613633471,65,32.6881,128.8419,39.2,14.97
Zaragoza,86,ES,1613633393,100,41.6561,-0.8773,46.0,5.75
Monastyrshchina,6,RU,1613633471,91,54.3496,31.838,-1.35,8.75
Batagay-Alyta,53,RU,1613633471,83,67.8006,130.4114,-31.38,1.43
Ubari,85,LY,1613633472,40,26.5921,12.7805,53.55,9.82
Dengzhou,0,CN,1613633472,69,37.8086,120.7508,35.53,13.85
Killarney,90,IE,1613633472,93,52.05,-9.5167,41.0,19.57
Quatre Cocos,40,MU,1613633472,66,-20.2078,57.7625,88.0,9.22
Tura,97,IN,1613633473,25,25.5198,90.2201,84.54,5.59
Labuhan,49,ID,1613633473,84,-6.8844,112.2051,81.1,16.13
Port Lincoln,0,AU,1613633473,36,-34.7333,135.8667,83.73,18.32
Ushuaia,75,AR,1613633473,93,-54.8,-68.3,48.2,10.36
South Venice,90,US,1613633473,100,27.0531,-82.4243,71.6,10.36
Flin Flon,83,CA,1613633405,91,54.7682,-101.865,-7.02,3.56
Assiut,0,EG,1613633474,49,27.181,31.1837,44.6,11.5
Bethel,90,US,1613633474,39,41.3712,-73.414,24.8,5.75
Bahile,40,PH,1613633474,58,9.9995,118.7878,87.8,13.8
Ribeira Grande,75,PT,1613633475,77,38.5167,-28.7,60.8,26.46
Mareeba,75,AU,1613633475,94,-17.0,145.4333,77.0,1.14
Saldanha,40,ZA,1613633475,74,-33.0117,17.9442,62.6,2.3
Dikson,88,RU,1613633475,85,73.5069,80.5464,-29.47,7.85
Albany,100,US,1613633476,55,42.6001,-73.9662,21.0,0.76
Roald,0,NO,1613633476,48,62.5833,6.1333,41.0,13.8
Chadiza,100,ZM,1613633476,84,-14.0678,32.4392,75.7,7.09
Garachiné,66,PA,1613633476,81,8.0647,-78.3628,74.73,4.9
Tautira,75,PF,1613633477,65,-17.7333,-149.15,82.4,9.22
Morondava,62,MG,1613633477,73,-20.2833,44.2833,84.72,13.24
Corinth,90,GR,1613633477,58,37.9407,22.9573,52.0,5.01
Cape Town,75,ZA,1613633407,77,-33.9258,18.4232,71.01,8.05
Aklavik,100,CA,1613633477,76,68.2191,-135.0107,-16.6,2.3
Maïné Soroa,0,NE,1613633478,30,13.2114,12.0241,63.45,21.45
Athabasca,0,CA,1613633478,77,54.7169,-113.2854,-9.4,1.14
Ketchikan,1,US,1613633478,70,55.3422,-131.6461,39.2,6.91
Pouembout,98,NC,1613633478,83,-21.1333,164.9,80.85,4.5
Turan,40,VN,1613633366,65,16.0678,108.2208,77.0,12.66
Aljezur,99,PT,1613633479,84,37.3191,-8.8033,55.98,4.56
Winnemucca,1,US,1613633479,74,40.973,-117.7357,23.0,3.44
Paris,0,FR,1613633279,76,48.8534,2.3488,46.99,10.36
Kavieng,100,PG,1613633479,77,-2.5744,150.7967,83.28,8.41
Guerrero Negro,0,MX,1613633479,85,27.9769,-114.0611,55.74,8.05
Umeå,90,SE,1613633480,92,63.8284,20.2597,8.6,7.61
Tuy Hoa,49,VN,1613633480,75,13.0833,109.3,74.55,19.24
Bentiu,71,SS,1613633480,17,9.2333,29.8333,77.32,11.52
Las Palmas,20,ES,1613633480,82,28.4204,-14.0131,62.6,12.66
Galle,100,LK,1613633481,72,6.0367,80.217,83.28,7.7
Teya,100,RU,1613633481,84,60.3778,92.6267,-4.88,10.42
Torbay,90,CA,1613633481,80,47.6666,-52.7314,27.0,17.27
Srednekolymsk,34,RU,1613633481,85,67.45,153.6833,-30.5,0.11
Korla,0,CN,1613633481,43,41.7597,86.1469,49.95,11.43
Rio Grande,21,BR,1613633482,94,-32.035,-52.0986,66.0,1.01
Belfast,75,GB,1613633267,87,54.5833,-5.9333,39.2,13.8
San Cosme y Damián,0,PY,1613633482,58,-27.3167,-56.35,59.04,1.81
Tuktoyaktuk,40,CA,1613633482,75,69.4541,-133.0374,-32.8,6.91
Lensk,100,RU,1613633482,89,60.7253,114.9278,0.9,4.14
Poum,99,NC,1613633483,79,-20.2333,164.0167,83.12,7.87
Katsuura,75,JP,1613633483,36,35.1333,140.3,46.0,12.66
Fortuna,1,US,1613633483,100,40.5982,-124.1573,43.0,9.22
Qarchī Gak,40,AF,1613633484,14,37.04,66.7889,77.0,10.36
Leer,100,SS,1613633484,16,8.3018,30.1418,78.87,10.38
Half Moon Bay,1,US,1613633485,53,37.4636,-122.4286,51.8,5.75
Nishifukuma,75,JP,1613633485,75,33.7667,130.4667,35.6,16.11
Yellowknife,75,CA,1613633222,77,62.456,-114.3525,-7.01,16.11
Mpanda,100,TZ,1613633486,82,-6.3655,31.0409,77.4,1.23
Qurayyat,40,SA,1613633486,61,31.3318,37.3428,48.2,18.41
Tasiilaq,90,GL,1613633487,93,65.6145,-37.6368,32.0,26.46
Meridian,1,US,1613633203,100,43.6121,-116.3915,27.0,6.91
Luau,100,AO,1613633487,72,-10.7073,22.2247,75.58,3.33
Nikel,75,RU,1613633488,85,69.4128,30.222,8.6,11.5
Dudinka,100,RU,1613633246,86,69.4058,86.1778,-23.13,3.51
Dunedin,85,NZ,1613633233,74,-45.8742,170.5036,57.99,5.01
Gravdal,20,NO,1613633488,79,68.1214,13.5031,21.2,4.61
Merced,1,US,1613633280,53,37.1666,-120.7516,48.0,5.75
Iwanai,94,JP,1613633489,95,42.9744,140.5089,29.1,12.84
Bonthe,100,SL,1613633489,86,7.5264,-12.505,76.37,2.73
Adilabad,100,IN,1613633489,39,19.6667,78.5333,79.57,2.15
Longyearbyen,75,SJ,1613633489,74,78.2186,15.6401,32.0,11.5
Uribia,100,CO,1613633489,80,11.7139,-72.266,74.19,9.26
Troitsko-Pechorsk,7,RU,1613633490,87,62.7084,56.1964,-16.73,3.4
Saint George,1,US,1613633291,41,37.1041,-113.5841,39.2,4.61
Crotone,90,IT,1613633490,100,39.0851,17.1178,46.99,13.8
Sisimiut,0,GL,1613633490,83,66.9395,-53.6735,-0.06,7.81
Quang Ngai,6,VN,1613633490,74,15.1167,108.8,74.39,13.53
Inírida,94,CO,1613633491,93,3.8653,-67.9239,73.51,1.41
Porto-Novo,40,BJ,1613633491,94,6.4965,2.6036,80.6,6.91
Mar del Plata,90,AR,1613633491,94,-38.0023,-57.5575,64.99,3.44
Nhulunbuy,100,AU,1613633491,83,-12.2333,136.7667,80.6,4.61
Mahébourg,40,MU,1613633491,66,-20.4081,57.7,87.8,9.22
Lorengau,100,PG,1613633492,77,-2.0226,147.2712,84.11,10.0
Acaraú,99,BR,1613633492,88,-2.8856,-40.12,77.18,6.24
Abu Samrah,0,SY,1613633492,58,35.3029,37.1841,45.46,17.47
Pangnirtung,99,CA,1613633492,83,66.1451,-65.7125,-14.82,3.31
Otaru,75,JP,1613633493,93,43.1894,141.0022,33.01,19.57
San Juan,0,AR,1613633493,54,-31.5375,-68.5364,76.28,7.72
Arraial do Cabo,100,BR,1613633493,81,-22.9661,-42.0278,77.81,4.63
Comodoro Rivadavia,0,AR,1613633425,40,-45.8667,-67.5,68.0,13.8
Zhigansk,73,RU,1613633493,82,66.7697,123.3711,-27.63,9.89
Pine Bluff,90,US,1613633494,86,34.2284,-92.0032,19.99,12.66
Bambous Virieux,40,MU,1613633494,66,-20.3428,57.7575,88.0,9.22
Pīpri,20,IN,1613633494,36,19.8,75.5333,82.4,6.91
Thinadhoo,1,MV,1613633373,73,0.5333,72.9333,83.12,10.67
Carauari,100,BR,1613633495,89,-4.8828,-66.8958,74.19,1.16
Maragogi,100,BR,1613633495,82,-9.0122,-35.2225,75.72,6.55
Aripuanã,100,BR,1613633434,99,-9.1667,-60.6333,70.23,0.85
Mehamn,75,NO,1613633495,68,71.0357,27.8492,26.6,8.05
Chapais,1,CA,1613633496,84,49.7834,-74.8492,-9.4,4.47
Bariloche,40,AR,1613633222,58,-41.1456,-71.3082,53.6,27.63
Goderich,100,CA,1613633496,78,43.7501,-81.7165,6.8,2.3
Port Pirie,0,AU,1613633496,16,-33.1833,138.0167,98.6,12.66
Novobelokatay,100,RU,1613633496,88,55.7062,58.9549,9.23,9.08
Hong Kong,0,HK,1613633282,58,22.2855,114.1577,70.0,1.99
Riyadh,90,SA,1613633410,64,24.6877,46.7219,69.8,10.36
Mascote,98,BR,1613633497,96,-15.5631,-39.3025,72.45,2.19
Mossamedes,90,AO,1613633497,78,-15.1961,12.1522,69.8,11.5
Soddy-Daisy,100,US,1613633498,97,35.2359,-85.1908,35.01,3.91
Nuevo Progreso,0,MX,1613633498,83,23.1667,-97.95,52.0,7.0
Ostrovnoy,100,RU,1613633498,92,68.0531,39.5131,11.57,20.15
Taltal,3,CL,1613633498,76,-25.4,-70.4833,62.38,2.35
Ust'-Karsk,22,RU,1613633499,90,52.7011,118.8077,22.98,5.86
Whitehorse,75,CA,1613633405,86,60.7161,-135.0538,19.4,19.57
Faanui,98,PF,1613633499,75,-16.4833,-151.75,81.37,14.83
Leningradskiy,0,RU,1613633499,84,69.3833,178.4167,-25.22,4.05
Cockburn Town,0,TC,1613633499,75,21.4612,-71.1419,77.79,23.51
Muros,91,ES,1613633500,89,42.7762,-9.0603,51.01,4.0
Zirl,0,AT,1613633500,93,47.3028,11.2745,30.99,2.3
Iqaluit,90,CA,1613633412,71,63.7506,-68.5145,1.4,16.11
Chongwe,75,ZM,1613633500,94,-15.3292,28.682,68.0,2.3
Pandan,96,PH,1613633501,72,14.0453,124.1694,77.79,17.36
Port Elizabeth,20,ZA,1613633501,68,-33.918,25.5701,73.4,24.16
Saskylakh,0,RU,1613633501,80,71.9167,114.0833,-34.31,3.65
Port Augusta,0,AU,1613633501,16,-32.5,137.7667,98.6,12.66
Coos Bay,1,US,1613633370,81,43.3665,-124.2179,44.6,9.22
Tomohon,40,ID,1613633502,88,1.3346,124.8392,77.0,4.61
Bandar-e Lengeh,93,IR,1613633502,69,26.5579,54.8807,77.0,9.22
Riohacha,94,CO,1613633404,83,11.5444,-72.9072,73.2,12.06
Talnakh,100,RU,1613633502,86,69.4865,88.3972,-19.95,1.39
Tazovsky,44,RU,1613633503,85,67.4667,78.7,-28.59,6.55
Praia,32,CV,1613633503,77,14.9215,-23.5087,68.0,11.5
Constitución,0,CL,1613633503,82,-35.3333,-72.4167,52.02,4.18
Turukhansk,91,RU,1613633503,84,65.8167,87.9833,-21.68,6.2
High Level,1,CA,1613633503,84,58.5169,-117.136,-14.8,4.92
Abnūb,0,EG,1613633504,49,27.2696,31.1511,44.6,11.5
Cidreira,0,BR,1613633504,70,-30.1811,-50.2056,68.95,12.77
Hambantota,20,LK,1613633504,46,6.1241,81.1185,91.4,5.75
Alakurtti,96,RU,1613633504,87,66.9672,30.3491,-2.99,2.46
Sompeta,34,IN,1613633504,49,18.9333,84.6,82.47,10.54
North Bend,1,US,1613633292,81,43.4065,-124.2243,44.6,9.22
Lakes Entrance,0,AU,1613633505,69,-37.8811,147.981,75.0,5.99
Trat,20,TH,1613633505,35,12.5,102.5,91.4,5.75
Zabul Province,0,AF,1613633505,31,32.25,67.25,56.43,4.85
Te Anau,0,NZ,1613633505,80,-45.4167,167.7167,59.13,2.71
Eureka,58,US,1613633506,91,40.8021,-124.1637,44.01,4.68
Kloulklubed,90,PW,1613633506,79,7.0419,134.2556,84.2,9.22
Kaeo,67,NZ,1613633506,69,-35.1,173.7833,64.99,8.99
Ayan,0,RU,1613633506,84,56.45,138.1667,-5.73,1.99
Thunder Bay,90,CA,1613633264,85,48.4001,-89.3168,5.0,3.44
Laas,0,IT,1613633507,73,46.6166,10.7002,26.6,5.75
Oriximiná,100,BR,1613633507,91,-1.7656,-55.8661,74.28,1.59
Kozhva,100,RU,1613633507,88,65.1073,57.0459,-16.6,9.57
Wanning,15,CN,1613633508,70,18.8003,110.3967,71.73,15.86
Vila Velha,0,BR,1613633467,78,-20.3297,-40.2925,77.0,9.22
Envira,91,BR,1613633508,98,-7.3,-70.2167,71.29,0.63
Voh,83,NC,1613633508,83,-20.9667,164.7,80.74,3.53
Seymchan,100,RU,1613633508,86,62.8833,152.4333,-14.48,3.58
Tongliao,58,CN,1613633509,91,43.6125,122.2653,23.56,11.1
Visby,75,SE,1613633509,79,57.6409,18.296,23.0,8.05
Tucuruí,100,BR,1613633509,96,-3.7661,-49.6725,71.8,3.58
Urusha,71,RU,1613633509,90,54.05,122.9,5.52,4.0
Rushden,100,GB,1613633509,77,52.2914,-0.5992,48.99,8.99
Umluj,81,SA,1613633408,56,25.0213,37.2685,63.01,14.18
Khandyga,57,RU,1613633510,84,62.6667,135.6,-27.13,1.86
Saint-François,0,FR,1613633510,71,46.4154,3.9054,46.4,10.36
San Policarpo,100,PH,1613633510,73,12.1791,125.5072,79.29,17.98
Masuda,75,JP,1613633511,86,34.6667,131.85,32.0,16.11
Merke,100,KZ,1613633511,29,42.8728,73.1786,63.27,2.1
Bāgeshwar,10,IN,1613633511,19,29.85,79.7667,73.4,3.94
Ancud,90,CL,1613633511,100,-41.8697,-73.8203,55.0,14.97
Ada,1,US,1613633512,80,43.4166,-116.1262,26.6,4.34
Beira,75,MZ,1613633512,100,-19.8436,34.8389,75.0,13.8
Havre-St-Pierre,1,CA,1613633512,78,50.2334,-63.5986,1.4,11.5
Sioux Lookout,40,CA,1613633512,76,50.1001,-91.917,-14.8,2.3
Chokwé,98,MZ,1613633512,81,-24.5333,32.9833,77.88,13.42
Lompoc,1,US,1613633513,75,34.6391,-120.4579,50.0,4.61
Provideniya,13,RU,1613633513,65,64.3833,-173.3,-0.4,11.18
Borova,75,UA,1613633513,79,50.1763,30.1043,15.8,8.95
Champerico,6,GT,1613633513,89,14.3,-91.9167,66.99,6.58
Shenjiamen,0,CN,1613633513,56,29.9576,122.298,44.11,16.98
La Santisima Trinidad,100,BO,1613633419,97,-14.8333,-64.9,71.62,0.56
Bilma,0,NE,1613633514,34,18.6853,12.9164,56.16,4.5
Kyabé,48,TD,1613633514,19,9.4515,18.9449,75.85,9.37
Wasilla,75,US,1613633514,93,61.5814,-149.4394,28.99,2.08
Pucallpa,88,PE,1613633515,97,-8.3791,-74.5539,72.73,0.94
Erice,0,IT,1613633515,100,38.037,12.5865,52.0,4.61
Lincoln,90,US,1613633515,73,40.8,-96.667,14.0,3.44
Husavik,75,IS,1613633515,93,66.0449,-17.3389,32.0,1.14
Toora-Khem,100,RU,1613633515,93,52.4675,96.11,27.28,12.71
Meadville,90,US,1613633516,73,41.6414,-80.1515,21.0,8.05
Gijang,0,KR,1613633516,23,35.2442,129.2139,37.4,12.66
Port Hedland,0,AU,1613633516,62,-20.3167,118.5667,91.4,18.41
City of San Pedro,75,PH,1613633516,48,14.35,121.0167,87.01,9.22
Florida,90,US,1613633517,94,28.7505,-82.5001,66.0,6.91
Adana Province,0,TR,1613633494,31,36.985,35.2881,44.6,10.36
Tabou,100,CI,1613633517,90,4.423,-7.3528,73.78,7.94
Healesville,14,AU,1613633517,47,-37.65,145.5167,88.0,3.0
Chittarkonda,9,IN,1613633518,22,18.1167,82.0833,91.0,3.0
Flinders,11,AU,1613633518,90,-34.5833,150.8552,71.01,8.61
Baharly,100,TM,1613633518,57,38.4362,57.4316,49.8,10.45
Sangar,100,RU,1613633518,86,63.9242,127.4739,-16.96,4.0
Mahon,90,ES,1613633518,87,39.8885,4.2658,53.6,5.75
Kuril'sk,100,RU,1613633519,96,45.2333,147.8833,25.0,12.41
Ambon City,40,ID,1613633519,58,-3.6954,128.1814,89.6,8.05
Fairbanks,75,US,1613633403,85,64.8378,-147.7164,6.01,2.06
Mizdah,4,LY,1613633519,40,31.4451,12.9801,51.46,9.89
Namasuba,77,UG,1613633519,70,0.6894,32.4214,76.95,1.66
Mezen',100,RU,1613633520,92,65.8522,44.24,-2.97,5.48
Kumul,0,CN,1613633520,39,42.8,93.45,51.8,6.67
Katangli,100,RU,1613633520,94,51.7102,143.2326,6.66,14.58
Lahaina,1,US,1613633414,78,20.8783,-156.6825,71.6,17.27
Andenes,0,NO,1613633520,85,69.3143,16.1194,23.0,11.5
Tukan,100,RU,1613633521,93,53.8409,57.4552,6.91,10.38
Akureyri,75,IS,1613633521,93,65.6835,-18.0878,32.0,1.14
Vao,100,NC,1613633521,90,-22.6667,167.4833,80.26,15.39
Ailigandí,40,PA,1613633521,82,9.2333,-78.0167,77.38,6.53
Ponta Delgada,75,PT,1613633508,72,37.7333,-25.6667,59.0,17.27
Olafsvik,99,IS,1613633522,82,64.8945,-23.7142,37.45,16.2
Tuatapere,81,NZ,1613633522,82,-46.1333,167.6833,59.0,5.99
Farmington,1,US,1613633408,80,36.7281,-108.2187,24.8,4.61
Santa Lucía,0,ES,1613633522,63,27.9117,-15.5407,60.8,11.5
Maricá,40,BR,1613633522,94,-22.9194,-42.8186,79.0,8.05
Chokurdakh,100,RU,1613633523,86,70.6333,147.9167,-19.75,7.52
Westport,90,US,1613633254,40,41.1415,-73.3579,28.4,5.75
Pizarro,100,CO,1613633523,85,4.9533,-77.366,76.48,4.25
Padang,20,ID,1613633523,66,-0.9492,100.3543,86.0,5.75
Bosaso,20,SO,1613633523,57,11.2842,49.1816,80.6,20.71
San Miguel de Tucumán,0,AR,1613633524,83,-26.8241,-65.2226,73.4,3.15
Tomra,0,NO,1613633524,60,62.5833,6.9333,41.0,11.5
Omaruru,0,NA,1613633524,29,-21.4333,15.9333,78.42,3.56
Sabha,4,LY,1613633524,40,27.0377,14.4283,53.51,7.11
Los Llanos de Aridane,0,ES,1613633524,39,28.6585,-17.9182,62.6,4.61
Cherskiy,0,RU,1613633525,85,68.75,161.3,-28.12,1.21
Meulaboh,16,ID,1613633525,63,4.1363,96.1285,86.38,7.43
San Andrés,20,CO,1613633525,74,12.5847,-81.7006,80.6,11.5
Kirkwall,75,GB,1613633525,93,58.9848,-2.9587,44.6,24.16
Baykit,100,RU,1613633526,83,61.67,96.37,-4.38,7.74
Dingle,100,PH,1613633526,71,10.9995,122.6711,80.29,13.4
Chanute,40,US,1613633526,78,37.6792,-95.4572,10.4,3.44
Alice Springs,40,AU,1613633431,20,-23.7,133.8833,100.4,11.5
Denpasar,20,ID,1613633237,70,-8.65,115.2167,87.8,12.66
Nyurba,100,RU,1613633527,88,63.2842,118.3319,-14.71,4.88
Arlit,0,NE,1613633527,26,18.7369,7.3853,62.92,10.54
Darhan,32,MN,1613633527,91,49.4867,105.9228,32.45,10.83
Hasaki,75,JP,1613633527,26,35.7333,140.8333,45.0,4.61
Inuvik,100,CA,1613633355,76,68.3499,-133.7218,-16.6,2.3
Aksarka,83,RU,1613633528,85,66.5606,67.7975,-17.73,7.99
Lima,0,PE,1613633528,83,-12.0432,-77.0282,71.01,4.61
Kutum,0,SD,1613633528,32,14.2,24.6667,55.74,18.88
Maniitsoq,25,GL,1613633528,84,65.4167,-52.9,5.58,5.53
Lake Shasta,23,US,1613633529,62,40.6804,-122.3708,44.01,5.41
Krasnosel'kup,86,RU,1613633529,84,65.7,82.4667,-25.26,7.43
Omsukchan,100,RU,1613633529,86,62.5333,155.8,-17.39,4.34
Phalaborwa,11,ZA,1613633338,65,-23.943,31.1411,80.6,3.44
Iquique,0,CL,1613633530,64,-20.2208,-70.1431,68.0,16.11
Nakhon Si Thammarat,40,TH,1613633530,55,8.25,100.0,91.0,12.66
Hofn,13,IS,1613633530,71,64.2539,-15.2082,39.06,4.43
Salinas,1,US,1613633530,61,36.6777,-121.6555,50.0,4.61
