,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
139,kaoma,,,,,,,,
140,saldanha,,,,,,,,
141,dezful,,,,,,,,
142,vaitape,,,,,,,,
143,bolshaya sosnova,,,,,,,,
144,attawapiskat,,,,,,,,
145,samusu,,,,,,,,
146,adrar,,,,,,,,
147,tucuma,,,,,,,,
148,prince rupert,,,,,,,,
149,russell,,,,,,,,
150,maragogi,,,,,,,,
151,vaitupu,,,,,,,,
152,sentyabrskiy,,,,,,,,
153,kindu,,,,,,,,
154,jamestown,,,,,,,,
155,mariager,,,,,,,,
156,faanui,,,,,,,,
157,thompson,,,,,,,,
158,antofagasta,,,,,,,,
159,bhuj,,,,,,,,
160,ilulissat,,,,,,,,
161,acarau,,,,,,,,
162,saint george,,,,,,,,
163,castro,,,,,,,,
164,corrientes,,,,,,,,
165,kaeo,,,,,,,,
166,puerto varas,,,,,,,,
167,nichinan,,,,,,,,
168,yumen,,,,,,,,
169,mount gambier,,,,,,,,
170,el balyana,,,,,,,,
171,ternate,,,,,,,,
172,cidreira,,,,,,,,
173,sorso,,,,,,,,
174,bubaque,,,,,,,,
175,salalah,,,,,,,,
176,lebu,,,,,,,,
177,chokurdakh,,,,,,,,
178,bacuit,,,,,,,,
179,souillac,,,,,,,,
180,aksehir,,,,,,,,
181,lander,,,,,,,,
182,louisbourg,,,,,,,,
183,ngunguru,,,,,,,,
184,valdivia,,,,,,,,
185,kenora,,,,,,,,
186,marsh harbour,,,,,,,,
187,pevek,,,,,,,,
188,dunmore town,,,,,,,,
189,atuona,,,,,,,,
190,maltahohe,,,,,,,,
191,lolua,,,,,,,,
192,albion,,,,,,,,
193,cape town,,,,,,,,
194,sulangan,,,,,,,,
195,narsaq,,,,,,,,
196,nioro,,,,,,,,
197,limbang,,,,,,,,
198,tabou,,,,,,,,
199,vaasa,,,,,,,,
200,zhezkazgan,,,,,,,,
201,east london,,,,,,,,
202,mar del plata,,,,,,,,
203,hamburg,,,,,,,,
204,atbasar,,,,,,,,
205,hit,,,,,,,,
206,akyab,,,,,,,,
207,aquin,,,,,,,,
208,visby,,,,,,,,
209,rincon,,,,,,,,
210,tuatapere,,,,,,,,
211,cabo san lucas,,,,,,,,
212,bombay,,,,,,,,
213,bilibino,,,,,,,,
214,port hardy,,,,,,,,
215,tumbagaan,,,,,,,,
216,geraldton,,,,,,,,
217,mitchell,,,,,,,,
218,warqla,,,,,,,,
219,dargaville,,,,,,,,
220,vila franca do campo,,,,,,,,
221,eberbach,,,,,,,,
222,portland,,,,,,,,
223,tsihombe,,,,,,,,
224,ulaangom,,,,,,,,
225,ostrovnoy,,,,,,,,
226,caceres,,,,,,,,
227,carutapera,,,,,,,,
228,kavieng,,,,,,,,
229,ancud,,,,,,,,
230,ixtlahuacan del rio,,,,,,,,
231,meulaboh,,,,,,,,
232,charters towers,,,,,,,,
233,huimilpan,,,,,,,,
234,krasnyy chikoy,,,,,,,,
235,bereda,,,,,,,,
236,doesburg,,,,,,,,
237,zabol,,,,,,,,
238,linxia,,,,,,,,
239,izvoarele sucevei,,,,,,,,
240,vila velha,,,,,,,,
241,forquilhinha,,,,,,,,
242,namibe,,,,,,,,
243,jacmel,,,,,,,,
244,pahrump,,,,,,,,
245,nantucket,,,,,,,,
246,delta del tigre,,,,,,,,
247,megion,,,,,,,,
248,knysna,,,,,,,,
249,chuy,,,,,,,,
250,abalak,,,,,,,,
251,zaozerne,,,,,,,,
252,kavaratti,,,,,,,,
253,bengkulu,,,,,,,,
254,aksu,,,,,,,,
255,uitenhage,,,,,,,,
256,waipawa,,,,,,,,
257,dikson,,,,,,,,
258,gizo,,,,,,,,
259,hihifo,,,,,,,,
260,sur,,,,,,,,
261,rampur hat,,,,,,,,
262,pietarsaari,,,,,,,,
263,salinopolis,,,,,,,,
264,maningrida,,,,,,,,
265,seoul,,,,,,,,
266,codrington,,,,,,,,
267,aswan,,,,,,,,
268,virovitica,,,,,,,,
269,aviles,,,,,,,,
270,satana,,,,,,,,
271,labuhan,,,,,,,,
272,japaratuba,,,,,,,,
273,kampot,,,,,,,,
274,luderitz,,,,,,,,
275,walvis bay,,,,,,,,
276,zverinogolovskoye,,,,,,,,
277,lompoc,,,,,,,,
278,half moon bay,,,,,,,,
279,yar-sale,,,,,,,,
280,san patricio,,,,,,,,
281,iskateley,,,,,,,,
282,buala,,,,,,,,
283,fare,,,,,,,,
284,buluang,,,,,,,,
285,palabuhanratu,,,,,,,,
286,nabire,,,,,,,,
287,batagay,,,,,,,,
288,manado,,,,,,,,
289,ribeira grande,,,,,,,,
290,gondar,,,,,,,,
291,fortuna,,,,,,,,
292,gerash,,,,,,,,
293,tezu,,,,,,,,
294,sinkat,,,,,,,,
295,alfredo baquerizo moreno,,,,,,,,
296,pueblo nuevo,,,,,,,,
297,humboldt,,,,,,,,
298,port macquarie,,,,,,,,
299,digapahandi,,,,,,,,
300,talnakh,,,,,,,,
301,mateare,,,,,,,,
302,skibbereen,,,,,,,,
303,wainwright,,,,,,,,
304,juneau,,,,,,,,
305,marzuq,,,,,,,,
306,jalu,,,,,,,,
307,linqiong,,,,,,,,
308,darab,,,,,,,,
309,kapustin yar-1,,,,,,,,
310,bayan,,,,,,,,
311,kruisfontein,,,,,,,,
312,egvekinot,,,,,,,,
313,juifang,,,,,,,,
314,khash,,,,,,,,
315,price,,,,,,,,
316,umm kaddadah,,,,,,,,
317,soe,,,,,,,,
318,bulungu,,,,,,,,
319,kaseda,,,,,,,,
320,crawfordsville,,,,,,,,
321,severo-yeniseyskiy,,,,,,,,
322,cockburn town,,,,,,,,
323,esso,,,,,,,,
324,namatanai,,,,,,,,
325,georgetown,,,,,,,,
326,anadyr,,,,,,,,
327,nizhneyansk,,,,,,,,
328,provideniya,,,,,,,,
329,verkhoyansk,,,,,,,,
330,bomet,,,,,,,,
331,benito juarez,,,,,,,,
332,chicama,,,,,,,,
333,hervey bay,,,,,,,,
334,khangah dogran,,,,,,,,
335,aklavik,,,,,,,,
336,svetlaya,,,,,,,,
337,langham,,,,,,,,
338,raudeberg,,,,,,,,
339,byron bay,,,,,,,,
340,anar darreh,,,,,,,,
341,leningradskiy,,,,,,,,
342,pilar,,,,,,,,
343,afmadu,,,,,,,,
344,shimoda,,,,,,,,
345,khatanga,,,,,,,,
346,college,,,,,,,,
347,kerchevskiy,,,,,,,,
348,los llanos de aridane,,,,,,,,
349,elko,,,,,,,,
350,constitucion,,,,,,,,
351,van,,,,,,,,
352,tondano,,,,,,,,
353,klaksvik,,,,,,,,
354,noumea,,,,,,,,
355,kinna,,,,,,,,
356,fairbanks,,,,,,,,
357,madang,,,,,,,,
358,kawalu,,,,,,,,
359,araouane,,,,,,,,
360,swakopmund,,,,,,,,
361,kars,,,,,,,,
362,reconquista,,,,,,,,
363,saint-malo,,,,,,,,
364,milyutinskaya,,,,,,,,
365,ghugus,,,,,,,,
366,vysokogornyy,,,,,,,,
367,victor harbor,,,,,,,,
368,goure,,,,,,,,
369,kisangani,,,,,,,,
370,horsham,,,,,,,,
371,clyde river,,,,,,,,
372,anloga,,,,,,,,
373,lavrentiya,,,,,,,,
374,diamantino,,,,,,,,
375,solnechnyy,,,,,,,,
376,svetlogorsk,,,,,,,,
377,belyy yar,,,,,,,,
378,xingtai,,,,,,,,
379,garowe,,,,,,,,
380,viligili,,,,,,,,
381,yangjiang,,,,,,,,
382,ucluelet,,,,,,,,
383,chumikan,,,,,,,,
384,bograd,,,,,,,,
385,pozo colorado,,,,,,,,
386,mbour,,,,,,,,
387,berdigestyakh,,,,,,,,
388,carnarvon,,,,,,,,
389,port augusta,,,,,,,,
390,camacha,,,,,,,,
391,oban,,,,,,,,
392,katsuura,,,,,,,,
393,avera,,,,,,,,
394,rockingham,,,,,,,,
395,namuac,,,,,,,,
396,sao joao batista,,,,,,,,
397,guerrero negro,,,,,,,,
398,salcia tudor,,,,,,,,
399,hueytown,,,,,,,,
400,nanortalik,,,,,,,,
401,tual,,,,,,,,
402,kuching,,,,,,,,
403,sitka,,,,,,,,
404,tomatlan,,,,,,,,
405,road town,,,,,,,,
406,vallenar,,,,,,,,
407,bulnes,,,,,,,,
408,terney,,,,,,,,
409,vao,,,,,,,,
410,isangel,,,,,,,,
411,baglung,,,,,,,,
412,luanda,,,,,,,,
413,severo-kurilsk,,,,,,,,
414,olivet,,,,,,,,
415,jeremoabo,,,,,,,,
416,makkaveyevo,,,,,,,,
417,cherskiy,,,,,,,,
418,amot,,,,,,,,
419,grand river south east,,,,,,,,
420,cockburn harbour,,,,,,,,
421,port lincoln,,,,,,,,
422,barra do garcas,,,,,,,,
423,kalabo,,,,,,,,
424,mezhdurechensk,,,,,,,,
425,burica,,,,,,,,
426,konstantinovskoye,,,,,,,,
427,sarankhola,,,,,,,,
428,bandarbeyla,,,,,,,,
429,lerwick,,,,,,,,
430,la ronge,,,,,,,,
431,santa maria,,,,,,,,
432,lokosovo,,,,,,,,
433,kyabram,,,,,,,,
434,iquitos,,,,,,,,
435,stamsund,,,,,,,,
436,umm lajj,,,,,,,,
437,ostrovskoye,,,,,,,,
438,pitimbu,,,,,,,,
439,marcona,,,,,,,,
440,sena madureira,,,,,,,,
441,poquoson,,,,,,,,
442,pangnirtung,,,,,,,,
443,kloulklubed,,,,,,,,
444,katangli,,,,,,,,
445,naifaru,,,,,,,,
446,chester,,,,,,,,
447,san ramon,,,,,,,,
448,zarechnyy,,,,,,,,
449,manuk mangkaw,,,,,,,,
450,okhotsk,,,,,,,,
451,najran,,,,,,,,
452,mokrin,,,,,,,,
453,sucre,,,,,,,,
454,sumenep,,,,,,,,
455,san policarpo,,,,,,,,
456,polovinnoye,,,,,,,,
457,huarmey,,,,,,,,
458,christchurch,,,,,,,,
459,kota belud,,,,,,,,
460,alotau,,,,,,,,
461,candido mendes,,,,,,,,
462,khavarion,,,,,,,,
463,changping,,,,,,,,
464,fayaoue,,,,,,,,
465,sao joao da barra,,,,,,,,
466,mildura,,,,,,,,
467,bismarck,,,,,,,,
468,teteles,,,,,,,,
469,disna,,,,,,,,
470,lugovoy,,,,,,,,
471,guarapari,,,,,,,,
472,korla,,,,,,,,
473,kaltasy,,,,,,,,
474,bouca,,,,,,,,
475,constantine,,,,,,,,
476,sumbe,,,,,,,,
477,hamilton,,,,,,,,
478,skjervoy,,,,,,,,
479,karaul,,,,,,,,
480,tromso,,,,,,,,
481,brewster,,,,,,,,
482,quatre cocos,,,,,,,,
483,barmer,,,,,,,,
484,galgani,,,,,,,,
485,risor,,,,,,,,
486,sainte-marie,,,,,,,,
487,moa,,,,,,,,
488,nadym,,,,,,,,
489,nara,,,,,,,,
490,show low,,,,,,,,
491,tabukiniberu,,,,,,,,
492,langsa,,,,,,,,
493,placerville,,,,,,,,
494,santa cruz de la palma,,,,,,,,
495,micheweni,,,,,,,,
496,bagarji,,,,,,,,
497,powell river,,,,,,,,
498,tutoia,,,,,,,,
499,osa,,,,,,,,
500,ipixuna,,,,,,,,
501,finnsnes,,,,,,,,
502,hirara,,,,,,,,
503,sao miguel do araguaia,,,,,,,,
504,zaysan,,,,,,,,
505,cururupu,,,,,,,,
506,arbore,,,,,,,,
507,maridi,,,,,,,,
508,north bend,,,,,,,,
509,lorengau,,,,,,,,
510,darhan,,,,,,,,
511,urusha,,,,,,,,
512,inhambane,,,,,,,,
513,helong,,,,,,,,
514,hami,,,,,,,,
515,derzhavinsk,,,,,,,,
516,saint-georges,,,,,,,,
517,mount isa,,,,,,,,
518,toora-khem,,,,,,,,
519,hohhot,,,,,,,,
520,saint-paul,,,,,,,,
521,saint-francois,,,,,,,,
522,grindavik,,,,,,,,
523,muros,,,,,,,,
524,beaverlodge,,,,,,,,
525,lasa,,,,,,,,
526,payo,,,,,,,,
527,roald,,,,,,,,
528,rakaia,,,,,,,,
529,mogoytuy,,,,,,,,
530,saint-augustin,,,,,,,,
531,chengmai,,,,,,,,
532,camocim,,,,,,,,
533,coquimbo,,,,,,,,
534,gushikawa,,,,,,,,
535,kahului,,,,,,,,
536,asilah,,,,,,,,
537,aljustrel,,,,,,,,
538,richards bay,,,,,,,,
539,ayolas,,,,,,,,
540,vitim,,,,,,,,
541,boa viagem,,,,,,,,
542,davila,,,,,,,,
543,surt,,,,,,,,
544,porto velho,,,,,,,,
545,tandur,,,,,,,,
546,arman,,,,,,,,
547,kalanguy,,,,,,,,
548,nam tha,,,,,,,,
549,tautira,,,,,,,,
550,cambre,,,,,,,,
551,mahon,,,,,,,,
552,nuuk,,,,,,,,
553,jiddah,,,,,,,,
554,aquiraz,,,,,,,,
555,natal,,,,,,,,
556,pacific grove,,,,,,,,
557,acari,,,,,,,,
558,parichha,,,,,,,,
559,rungata,,,,,,,,
560,jinchang,,,,,,,,
561,kropotkin,,,,,,,,
562,asifabad,,,,,,,,
563,nishihara,,,,,,,,
564,vilela,,,,,,,,
565,dianopolis,,,,,,,,
566,diffa,,,,,,,,
567,te anau,,,,,,,,
568,neyshabur,,,,,,,,
569,sayyan,,,,,,,,
570,suba,,,,,,,,
571,erzin,,,,,,,,
572,naze,,,,,,,,
573,alofi,,,,,,,,
574,viedma,,,,,,,,
575,longonjo,,,,,,,,
576,griffith,,,,,,,,
577,nurota,,,,,,,,
578,mahur,,,,,,,,
579,abaza,,,,,,,,
580,san ignacio,,,,,,,,
581,tacuarembo,,,,,,,,
582,zhongshu,,,,,,,,
583,sakakah,,,,,,,,
584,anchorage,,,,,,,,
585,moron,,,,,,,,
586,atar,,,,,,,,
587,grand centre,,,,,,,,
588,mizpe ramon,,,,,,,,
589,winchester,,,,,,,,
590,dongsheng,,,,,,,,
591,poum,,,,,,,,
592,podor,,,,,,,,
593,altamira,,,,,,,,
594,sidi ali,,,,,,,,
595,oussouye,,,,,,,,
596,bathsheba,,,,,,,,
597,omboue,,,,,,,,
598,gilgil,,,,,,,,
599,santa rosa,,,,,,,,
600,haines junction,,,,,,,,
601,kamwenge,,,,,,,,
